RfcEmisor|NombreEmisor|RegimenFiscalEmisor|RfcReceptor|NombreReceptor|UsoCFDIReceptor|ClaveProdServConcepto|CantidadConcepto|ClaveUnidadConcepto|DescripcionConcepto|ValorUnitarioConcepto|ImporteConcepto|DescuentoConcepto|VersionNomina|TipoNominaNomina|FechaPagoNomina|FechaInicialPagoNomina|FechaFinalPagoNomina|NumDiasPagadosNomina|TotalPercepcionesNomina|TotalDeduccionesNomina|RegistroPatronalNominaEmisor|RfcPatronOrigenNominaEmisor|CurpNominaReceptor|NumSeguridadSocialNominaReceptor|FechaInicioRelLaboralNominaReceptor|AntigüedadNominaReceptor|TipoContratoNominaReceptor|SindicalizadoNominaReceptor|TipoJornadaNominaReceptor|TipoRegimenNominaReceptor|NumEmpleadoNominaReceptor|DepartamentoNominaReceptor|PuestoNominaReceptor|RiesgoPuestoNominaReceptor|PeriodicidadPagoNominaReceptor|BancoNominaReceptor|CuentaBancariaNominaReceptor|SalarioBaseCotAporNominaReceptor|SalarioDiarioIntegradoNominaReceptor|ClaveEntFedNominaReceptor|TotalSueldosNominaPercepciones|TotalGravadoNominaPercepciones|TotalExentoNominaPercepciones|TipoPercepcionNominaPercepcion|ClaveNominaPercepcion|ConceptoPercepcionNominaPercepcion|ImporteGravadoNominaPercepcion|ImporteExentoNominaPercepcion|TotalOtrasDeduccionesNominaDeducciones|TotalImpuestosRetenidosNominaDeducciones
LAN7008173R5|CINDEMEX SA DE CV|601|BAJS721028S88|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|11504.46|11504.46|1777.61|1.2|O|2017-01-14|2017-01-01|2017-01-15|15.333|11504.45|1777.61|MAS595960B|MAS0810247C0|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|11504.45|10609.60|894.85|001|AA4503C|Sueldo|9019.20|515.16|295.66|1481.95
LAN7008173R5|CINDEMEX SA DE CV|601|AAQM610917QJA|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|2225.23|2225.23|1777.61|1.2|O|2016-01-14|2017-01-01|2017-01-15|15.333|0.00|1777.61|MAS595960B|MAS0810247C0|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|0.00|0.00|0.00|001|AA4503C|Sueldo|0.00|0.00|295.66|1481.95
LAN7008173R5|CINDEMEX SA DE CV|601|AAQM610917QJA|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|2225.23|2225.23|1777.61|1.2|O|2016-01-14|2017-01-01|2017-01-15|15.333|0|1777.61|MAS595960B|MAS0810247C0|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|0|0|0|001|AA4503C|Sueldo|0|0|295.66|1481.95
LAN7008173R5|CINDEMEX SA DE CV|601|AAQM610917QJA|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|225.23|225.23|177.61|1.2|O|2017-01-14|2017-01-01|2017-01-15|15.333||177.61|MAS595960B|MAS0810247C0|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|||||||||95.66|81.95
LAN7008173R5|CINDEMEX SA DE CV|601|AAQM610917QJA|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|2225.23|2225.23|1777.61|1.2|O|2016-01-14|2017-01-01|2017-01-15|15.333||1777.61|MAS595960B|MAS0810247C0|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|||||||||295.66|1481.95
LAN7008173R5|CINDEMEX SA DE CV|601|AAQM610917QJA|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|11729.68|11729.68|1777.61|1.2|O|2017-01-14|2017-01-01|2017-01-15|15.333|11504.45|1777.61|MAS595960B|MAS0810247C0|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|11504.45|10609.60|894.85|001|AA4503C|Sueldo|9019.20|515.16|295.66|1481.95
LAN7008173R5|CINDEMEX SA DE CV|601|AAQM610917QJA|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|11729.68|11729.68|1777.61|1.2|O|2017-01-14|2017-01-01|2017-01-15|15.333|11504.45|1777.61|MAS595960B|MAS0810247C0|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|11504.45|10609.60|894.85|001|AA4503C|Sueldo|9019.20|515.16|295.66|1481.95
LAN7008173R5|CINDEMEX SA DE CV|601|AAQM610917QJA|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|9999999999.99|9999999999.99|9999599999.99|1.2|O|2017-01-14|2017-01-01|2017-01-15|15.333|9999999999.99|9999599999.99|MAS595960B|MAS0810247C0|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|04|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|9999999999.99|9999999999.99|0.00|001|AA4503C|Sueldo|9999999999.99|0.00||9999599999.99
LAN7008173R5|CINDEMEX SA DE CV|601|AAQM610917QJA|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|225.24|225.24|177.61|1.2|O|2017-01-14|2017-01-01|2017-01-15|15.333|0.01|177.61|MAS595960B|MAS0810247C0|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|0.01|0.01|0.00|001|AA4503C|Sueldo|0.01|0.00|95.66|81.95
LAN7008173R5|CINDEMEX SA DE CV|601|BAJS721028S88|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|11729.68|11729.68|1777.61|1.2|O|2017-01-14|2017-01-01|2017-01-15|15.333|11504.45|1777.61|MAS595960B|MAS0810247C0|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|11504.45|10609.60|894.85|001|AA4503C|Sueldo|9019.20|515.16|295.66|1481.95
BAÑI7902011Y4|ISABEL BALTAZAR ÑONTHE|605|AAQM610917QJA|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|11729.68|11729.68|1777.61|1.2|O|2016-01-14|2017-01-01|2017-01-15|15.333|11504.45|1777.61|MAS595960B|CÑT040504890|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|11504.45|10609.60|894.85|001|AA4503C|Sueldo|9019.20|515.16|295.66|1481.95
BAÑI7902011Y4|ISABEL BALTAZAR ÑONTHE|605|AAQM610917QJA|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|11729.68|11729.68|1777.61|1.2|O|2016-01-14|2017-01-01|2017-01-15|15.333|11504.45|1777.61|MAS595960B|CÑT040504890|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|11504.45|10609.60|894.85|001|AA4503C|Sueldo|9019.20|515.16|295.66|1481.95
LAN7008173R5|CINDEMEX SA DE CV|601|BAÑI7902011Y4|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|11729.68|11729.68|1777.61|1.2|O|2016-01-14|2017-01-01|2017-01-15|15.333|11504.45|1777.61|MAS595960B|MAS0810247C0|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|11504.45|10609.60|894.85|001|AA4503C|Sueldo|9019.20|515.16|295.66|1481.95
AB&010822TW7|CINDEMEX SA DE CV|601|BAÑI7902011Y4|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|11729.68|11729.68|1777.61|1.2|O|2016-01-14|2017-01-01|2017-01-15|15.333|11504.45|1777.61|MAS595960B|AB&010822TW7|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|11504.45|10609.60|894.85|001|AA4503C|Sueldo|9019.20|515.16|295.66|1481.95
EVA890922GK3|EMBARCADERO VALLARTA SA DE CV|601|BAÑI7902011Y4|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|11729.68|11729.68|1777.61|1.2|O|2016-01-14|2017-01-01|2017-01-15|15.333|11504.45|1777.61|MAS595960B|EVA890922GK3|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|11504.45|10609.60|894.85|001|AA4503C|Sueldo|9019.20|515.16|295.66|1481.95
CÑT040504890|CINDEMEX SA DE CV|601|BAÑI7902011Y4|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|11729.68|11729.68|1777.61|1.2|O|2016-01-14|2017-01-01|2017-01-15|15.333|11504.45|1777.61|MAS595960B|CÑT040504890|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|11504.45|10609.60|894.85|001|AA4503C|Sueldo|9019.20|515.16|295.66|1481.95
LAN7008173R5|CINDEMEX SA DE CV|601|AAQM610917QJA|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|11729.68|11729.68|1777.61|1.2|O|2016-01-14|2017-01-01|2017-01-15|15.333|11504.45|1777.61|MAS595960B|MAS0810247C0|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|11504.45|10609.60|894.85|001|AA4503C|Sueldo|9019.20|515.16|295.66|1481.95
LAN7008173R5|CINDEMEX SA DE CV|601|AAQM610917QJA|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|11729.68|11729.68|1777.61|1.2|O|2016-01-14|2017-01-01|2017-01-15|15.333|11504.45|1777.61|MAS595960B|MAS0810247C0|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|11504.45|10609.60|894.85|001|AA4503C|Sueldo|9019.20|515.16|295.66|1481.95
LAN7008173R5|CINDEMEX SA DE CV|601|AAQM610917QJA|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|11729.68|11729.68|1777.61|1.2|O|2016-01-14|2017-01-01|2017-01-15|15.333|11504.45|1777.61|MAS595960B|MAS0810247C0|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|11504.45|10609.60|894.85|001|AA4503C|Sueldo|9019.20|515.16|295.66|1481.95
LAN7008173R5|CINDEMEX SA DE CV|601|AAQM610917QJA|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|11729.68|11729.68|1777.61|1.2|O|2016-01-14|2017-01-01|2017-01-15|15.333|11504.45|1777.61|MAS595960B|MAS0810247C0|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|11504.45|10609.60|894.85|001|AA4503C|Sueldo|9019.20|515.16|295.66|1481.95
LAN7008173R5|CINDEMEX SA DE CV|601|AAQM610917QJA|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|11729.68|11729.68|1777.61|1.2|O|2016-01-14|2017-01-01|2017-01-15|15.333|11504.45|1777.61|MAS595960B|MAS0810247C0|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|11504.45|10609.60|894.85|001|AA4503C|Sueldo|9019.20|515.16|295.66|1481.95
LAN7008173R5|CINDEMEX SA DE CV|601|AAQM610917QJA|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|11729.68|11729.68|1777.61|1.2|O|2016-01-14|2017-01-01|2017-01-15|15.333|11504.45|1777.61|MAS595960B|MAS0810247C0|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|11504.45|10609.60|894.85|001|AA4503C|Sueldo|9019.20|515.16|295.66|1481.95
LAN7008173R5|CINDEMEX SA DE CV|601|AAQM610917QJA|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|11729.68|11729.68||1.2|O|2016-01-14|2017-01-01|2017-01-15|15.333|11504.45||MAS595960B|MAS0810247C0|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|11504.45|10609.60|894.85|001|AA4503C|Sueldo|9019.20|515.16||
LAN7008173R5|CINDEMEX SA DE CV|601|AAQM610917QJA|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|11728|11728|1776|1.2|O|2016-01-14|2017-01-01|2017-01-15|15.333|11503|1776|MAS595960B|MAS0810247C0|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|11503|10609|894|001|AA4503C|Sueldo|9019|515|295|1481
LAN7008173R5|CINDEMEX SA DE CV|601|AAQM610917QJA|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|11729.68|11729.68|1777.61|1.2|O|2016-01-14|2017-01-01|2017-01-15|15.333|11504.45|1777.61|MAS595960B|MAS0810247C0|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|11504.45|10609.60|894.85|001|AA4503C|Sueldo|9019.20|515.16|295.66|1481.95
LAN7008173R5|CINDEMEX SA DE CV|601|AAQM610917QJA|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|11729.68|11729.68|1777.61|1.2|O|2016-01-14|2017-01-01|2017-01-15|15.333|11504.45|1777.61|MAS595960B|MAS0810247C0|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|11504.45|10609.60|894.85|001|AA4503C|Sueldo|9019.20|515.16|295.66|1481.95
LAN7008173R5|CINDEMEX SA DE CV|601|AAQM610917QJA|Nombre Receptor Pruebas|G01|84111505|1|ACT|Pago de nómina|11729.68|11729.68|1777.61|1.2|O|2016-01-14|2017-01-01|2017-01-15|15.333|11504.45|1777.61|MAS595960B|MAS0810247C0|MALR840505HJCRPM09|30038010705|2015-03-10|P10W|01|No|01|02|6069|Desarrollo|Programador|1|04|002|1234567890|355.00|455.00|JAL|11504.45|10609.60|894.85|001|AA4503C|Sueldo|9019.20|515.16|295.66|1481.95
